id,label,atlas_mm3,left_mm3,right_mm3,retention_%,left_fragmented,right_fragmented,lr_volume_ratio,t1_mean_left,t1_mean_right,mirror_err_mm,compactness_l,compactness_r,t1_outlier_l,t1_outlier_r,gradient_l,gradient_r,bbox_fill_l,bbox_fill_r,glcm_homo_l,glcm_homo_r,consist_score,loo_dsc,quality_score,morph_flags,tier,tier_note
18,Pf,187.0,102.0,105.0,55.3,False,False,0.97,0.546,0.676,1.6,0.704,0.653,0.196,0.095,0.585,0.608,0.309,0.239,—,—,0.847,0.577,0.783,T1 outlier yuksek (0.20),TIER-1,Guvenilir — uzman dogrulamasi onerilir
19,Po,65.0,50.0,45.0,73.1,False,False,1.11,0.774,0.868,2.4,0.796,0.782,0.02,0.0,0.146,0.165,0.357,0.281,—,—,0.87,0.489,0.709,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
20,PuA,167.0,113.0,101.0,64.1,False,False,1.12,0.784,0.857,1.8,0.701,0.694,0.044,0.02,0.119,0.117,0.314,0.321,—,—,0.876,0.491,0.797,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
21,PuI,59.0,42.0,38.0,67.8,False,False,1.11,0.942,1.091,2.9,0.792,0.743,0.143,0.079,0.276,0.561,0.28,0.211,—,—,0.799,0.561,0.699,T1 outlier orta (0.14),TIER-1,Guvenilir — uzman dogrulamasi onerilir
22,PuL,388.0,360.0,376.0,94.8,False,False,0.96,1.017,1.289,2.0,0.742,0.725,0.058,0.053,0.127,0.143,0.408,0.336,—,—,0.894,0.733,0.904,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
23,PuM,1832.0,991.0,1024.0,55.0,False,False,0.97,0.351,0.358,2.5,0.638,0.649,0.208,0.223,0.353,0.447,0.33,0.306,0.998,0.998,0.83,0.801,0.858,T1 outlier yuksek (0.22),TIER-1,Guvenilir — uzman dogrulamasi onerilir
24,Pv,7.0,5.0,4.0,64.3,False,False,1.25,-1.553,-1.092,0.8,1.0,1.0,0.2,0.0,0.901,1.181,0.417,1.0,—,—,0.266,0.233,0.379,Sol T1 yogunluk dusuk (-1.55); Sag T1 yogunluk dusuk (-1.09); T1 outlier yuksek (0.20); Hastalar arasi tutarsiz (CV skoru=0.27),TIER-3,Guvenilmez — kucuk veya kotu propagate
25,RN,382.0,457.0,473.0,121.7,False,False,0.97,1.242,1.26,1.6,0.819,0.865,0.05,0.061,0.121,0.122,0.476,0.438,0.998,0.998,0.87,0.756,0.907,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
26,SG,59.0,24.0,33.0,48.3,False,False,0.73,0.799,0.558,2.0,0.833,0.794,0.042,0.121,0.26,0.619,0.4,0.344,—,—,0.824,0.518,0.645,T1 outlier orta (0.12),TIER-1,Guvenilir — uzman dogrulamasi onerilir
27,STh,239.0,318.0,310.0,131.4,False,False,1.03,1.321,1.347,0.8,0.719,0.739,0.044,0.09,0.119,0.104,0.284,0.288,0.999,0.999,0.908,0.654,0.882,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
28,VAmc,74.0,53.0,45.0,66.2,False,True,1.18,1.068,1.067,0.6,0.571,0.584,0.038,0.044,0.279,0.18,0.184,0.141,—,—,0.868,0.368,0.58,Tek hemisfer parcali,TIER-2,Belirsiz  — dikkatli inceleme gerekli
29,VApc,565.0,531.0,485.0,89.9,False,False,1.09,1.126,1.132,0.3,0.62,0.648,0.053,0.039,0.263,0.163,0.24,0.269,0.999,—,0.894,0.624,0.871,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
30,VLa,319.0,333.0,332.0,104.2,False,False,1.0,1.014,1.081,0.3,0.679,0.671,0.045,0.081,0.111,0.102,0.32,0.27,—,—,0.87,0.469,0.821,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
31,VLpd,760.0,681.0,654.0,87.8,False,False,1.04,0.935,1.006,1.2,0.698,0.683,0.103,0.115,0.263,0.199,0.36,0.346,0.997,0.997,0.873,0.667,0.865,T1 outlier orta (0.11),TIER-1,Guvenilir — uzman dogrulamasi onerilir
32,VLpv,743.0,652.0,638.0,86.8,False,False,1.02,0.98,1.029,1.2,0.574,0.603,0.038,0.06,0.118,0.13,0.194,0.217,0.998,0.998,0.883,0.568,0.853,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
33,VM,156.0,167.0,146.0,100.3,False,False,1.14,1.116,1.105,0.6,0.675,0.644,0.09,0.062,0.18,0.164,0.232,0.225,0.999,—,0.876,0.463,0.782,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
34,VPI,69.0,60.0,62.0,88.4,False,False,0.97,0.987,1.11,1.7,0.81,0.826,0.083,0.097,0.093,0.136,0.429,0.388,—,—,0.881,0.499,0.717,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
35,VPLa,117.0,115.0,115.0,98.3,False,False,1.0,0.976,1.103,1.5,0.651,0.599,0.078,0.052,0.077,0.086,0.256,0.359,—,—,0.867,0.328,0.706,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
36,VPLp,553.0,480.0,498.0,88.4,False,False,0.96,0.898,1.0,1.7,0.6,0.598,0.035,0.06,0.094,0.106,0.288,0.217,—,—,0.901,0.579,0.859,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
37,VPM,186.0,183.0,153.0,90.3,False,False,1.2,1.033,1.075,1.2,0.667,0.65,0.066,0.098,0.115,0.115,0.203,0.189,—,—,0.888,0.444,0.804,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
38,global,10020.0,6753.0,6480.0,66.0,False,False,1.04,0.641,0.733,1.9,0.613,0.603,0.18,0.164,0.317,0.325,0.244,0.226,0.995,0.995,0.873,0.86,0.909,T1 outlier yuksek (0.18),TIER-1,Guvenilir — uzman dogrulamasi onerilir
39,mtt,57.0,38.0,41.0,69.3,True,True,0.93,1.164,1.137,1.2,0.622,0.59,0.158,0.024,0.278,0.352,0.112,0.134,—,—,0.838,0.329,0.369,T1 outlier yuksek (0.16); Her iki hemisfer parcali,TIER-3,Guvenilmez — kucuk veya kotu propagate
40,sPf,14.0,10.0,12.0,78.6,True,True,0.83,0.998,1.043,1.3,0.855,0.82,0.1,0.25,0.205,0.192,0.119,0.094,—,—,0.807,0.219,0.294,T1 outlier yuksek (0.25); Her iki hemisfer parcali,TIER-3,Guvenilmez — kucuk veya kotu propagate
41,thalamus_body,339.0,184.0,188.0,54.9,False,False,0.98,0.557,0.048,2.7,0.729,0.721,0.234,0.037,0.505,0.629,0.307,0.298,—,—,0.787,0.635,0.801,T1 outlier yuksek (0.23),TIER-1,Guvenilir — uzman dogrulamasi onerilir
